variable,categorie,statut_whoop,definition,pct_manquant,n_valeurs_distinctes,exploitable
jrn_partage_enfant,journal,déclaratif,"espace de couchage partagé avec un enfant, ~14 % de oui",37.7,2.0,oui
jrn_enfant_bas_age,journal,déclaratif,"élève un enfant en bas âge, ~30 % de oui",25.9,2.0,oui
jrn_vitamine_c,journal,déclaratif,"vitamine C, ~13 % de oui",37.7,2.0,oui
jrn_proteines,journal,déclaratif,"protéines consommées, ~13 % de oui, mais 70 % manquant (question ajoutée tard)",69.6,2.0,partiel — beaucoup de manquants
jrn_vitamine_b12,journal,déclaratif,"vitamine B12, ~3 % de oui",37.7,2.0,oui
jrn_repas_tardif,journal,déclaratif,"repas tardif, ~3 % de oui",24.5,2.0,oui
jrn_rapports_sexuels,journal,déclaratif,"rapports sexuels, ~3 % de oui",37.7,2.0,oui
jrn_ballonnements,journal,déclaratif,"ballonnements, ~5 % de oui",37.8,2.0,oui
jrn_hydrate,journal,déclaratif,"hydratation suffisante, quasi jamais renseigné (90 % manquant)",89.7,2.0,partiel — beaucoup de manquants
jrn_avion,journal,déclaratif,"voyage en avion — 0 % de oui sur toute la période, y compris le séjour de juillet 2025 (question ajoutée après, ou trajet non aérien)",37.8,1.0,non — variance quasi nulle
jrn_celibataire,journal,déclaratif,variance nulle (toujours non) — non exploitable,37.7,1.0,non — variance quasi nulle
jrn_ains,journal,déclaratif,"anti-inflammatoire non stéroïdien, variance nulle — non exploitable",37.7,1.0,non — variance quasi nulle
jrn_sauna,journal,déclaratif,variance nulle (jamais) — non exploitable,37.7,1.0,non — variance quasi nulle
jrn_hammam,journal,déclaratif,variance nulle (jamais) — non exploitable,37.7,1.0,non — variance quasi nulle
